area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P085/N20,Pulau Manis,Pulau Manis,Abu Bakar Lebai Sudin,Abu Bakar Bin Lebai Sudin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Manis,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P085/N20,Pulau Manis,Pulau Manis,Khairuddin Mahmud,Khairuddin BIn Mahmud,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Manis,,National Front,Barisan Nasional,UMNO,,,,,,,
P085/N20,Pulau Manis,Pulau Manis,Zainuddin Noh,Zainuddin Bin Noh,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Pulau Manis,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P085/N21,Peramu Jaya,Peramu Jaya,Abu Kassim Manaf,Abu Kassim Bin Manaf,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Peramu Jaya,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P085/N21,Peramu Jaya,Peramu Jaya,Salim Abd Majid,Salim Bin Abd Majid,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Peramu Jaya,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P085/N21,Peramu Jaya,Peramu Jaya,SH Mohamed Puzi Sh Ali,SH Mohamed Puzi Bin Sh Ali,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Peramu Jaya,,National Front,Barisan Nasional,UMNO,,,,,,,
P085/N22,Bebar,Bebar,Afif Syairol Abdul Rahim,Afif Syairol Bin Abdul Rahim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bebar,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P085/N22,Bebar,Bebar,Mohammad Fakhruddin Mohd Ariff,Mohammad Fakhruddin Bin Mohd Ariff,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bebar,,National Front,Barisan Nasional,UMNO,,,,,,,
P085/N22,Bebar,Bebar,Mohd Nazhar Othman,Mohd Nazhar Bin Othman,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Bebar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P085/N23,Chini,Chini,Abu Bakar Harum,Abu Bakar Bin Harum,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Chini,,National Front,Barisan Nasional,UMNO,,,,,,,
P085/N23,Chini,Chini,Mohamad Razali Ithnain,Mohamad Razali bin Ithnain,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Chini,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P085/N23,Chini,Chini,Mohd Fadhil Noor Abdul Karim,Mohd Fadhil Noor Bin Abdul Karim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Chini,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P086/N24,Luit,Luit,Mohd Sofian Abd Jalil,Mohd Sofian Bin Abd Jalil,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Luit,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
