area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,post_role_en,post_role_ms,post_label_en,post_label_ms,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P037,Marang,Marang,Mohamad Nor Endot,Mohamad Nor Bin Endot,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Marang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P037,Marang,Marang,Zarawi Sulong,Zarawi Bin Sulong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Marang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P038,Hulu Terengganu,Hulu Terengganu,Muhydin Abdul Rashid,Muhydin Bin Abdul Rashid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Hulu Terengganu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P038,Hulu Terengganu,Hulu Terengganu,Razali Idris,Razali Bin Idris,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Hulu Terengganu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P038,Hulu Terengganu,Hulu Terengganu,Rosol Wahid,Rosol Bin Wahid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Hulu Terengganu,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P039,Dungun,Dungun,Abd Rahman Yusof,Abd Rahman Bin Yusof,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Dungun,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P039,Dungun,Dungun,Din Adam,Din Bin Adam,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Dungun,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P039,Dungun,Dungun,Wan Hassan Mohd Ramli,Wan Hassan Bin Mohd Ramli,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Dungun,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P040,Kemaman,Kemaman,Ahmad Shabery Cheek,Ahmad Shabery Cheek,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kemaman,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P040,Kemaman,Kemaman,Che Alias Hamid,Che Alias Bin Hamid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kemaman,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P040,Kemaman,Kemaman,Mohd Huzaifah Md Suhaimi,Mohd Huzaifah Bin Md Suhaimi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kemaman,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P041,Kepala Batas,Kepala Batas,Reezal Merican Naina Merican,Reezal Merican Bin Naina Merican,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kepala Batas,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P041,Kepala Batas,Kepala Batas,Siti Mastura Muhamad,Siti Mastura Binti Muhamad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kepala Batas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P041,Kepala Batas,Kepala Batas,Zaidi Zakaria,Zaidi Bin Zakaria,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kepala Batas,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P042,Tasek Gelugor,Tasek Gelugor,Marzuki Yahya,Marzuki Bin Yahya,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tasek Gelugor,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P042,Tasek Gelugor,Tasek Gelugor,Rizal Hafiz Ruslan,Rizal Hafiz Bin Ruslan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tasek Gelugor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P042,Tasek Gelugor,Tasek Gelugor,Shabudin Yahaya,Shabudin Bin Yahaya,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tasek Gelugor,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P043,Bagan,Bagan,Huan Cheng Guan,Huan Cheng Guan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan,,Love Malaysia Party,Parti Cinta Malaysia,PCM,,,,,,,,,,,
P043,Bagan,Bagan,Koay Xing Boon,Koay Xing Boon,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,,,,,
P043,Bagan,Bagan,Lee Beng Seng,Lee Beng Seng,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P043,Bagan,Bagan,Lim Guan Eng,Lim Guan Eng,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P044,Permatang Pauh,Permatang Pauh,Afnan Hamimi Taib Azamudden,Afnan Hamimi Bin Taib Azamudden,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Permatau Pauh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P044,Permatang Pauh,Permatang Pauh,Mohd Zaidi Mohd Said,Mohd Zaidi Bin Mohd Said,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Permatau Pauh,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P044,Permatang Pauh,Permatang Pauh,Nurul Izzah Anwar,Nurul Izzah Binti Anwar,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Permatau Pauh,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P045,Bukit Mertajam,Bukit Mertajam,Gui Guat Lye,Gui Guat Lye,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Mertajam,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P045,Bukit Mertajam,Bukit Mertajam,Sim Chee Keong,Sim Chee Keong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Mertajam,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P046,Batu Kawan,Batu Kawan,Jay Kumar Balakrishna,Jay Kumar A/L Balakrishna,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Kawan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P046,Batu Kawan,Batu Kawan,Jayanthi Devi Balaguru,Jayanthi Devi A/P Balaguru,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Kawan,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P046,Batu Kawan,Batu Kawan,Kasthuriraani Patto,Kasthuriraani A/P Patto,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Kawan,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P046,Batu Kawan,Batu Kawan,Ooi Khar Giap,Ooi Khar Giap,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Kawan,,Penang Front Party,Penang Front Party,PFP,,,,,,,,,,,
P047,Nibong Tebal,Nibong Tebal,Mansor Othman,Mansor Bin Othman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Nibong Tebal,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P047,Nibong Tebal,Nibong Tebal,Mohd Helmi Harun,Mohd Helmi Bin Harun,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Nibong Tebal,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P047,Nibong Tebal,Nibong Tebal,Shaik Hussein Mydin,Shaik Hussein Bin Mydin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Nibong Tebal,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P047,Nibong Tebal,Nibong Tebal,Tan Tee Beng,Tan Tee Beng,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Nibong Tebal,,Independent,Bebas,,,,,,,,,,,,
P048,Bukit Bendera,Bukit Bendera,Andy Yong Kim Seng,Andy Yong Kim Seng,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Bendera,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P048,Bukit Bendera,Bukit Bendera,Tan Gim Theam,Tan Gim Theam,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Bendera,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,,,,,
P048,Bukit Bendera,Bukit Bendera,Wong Hon Wai,Wong Hon Wai,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Bendera,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P049,Tanjong,Tanjong,Chow Kon Yeow,Chow Kon Yeow,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tanjong,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P049,Tanjong,Tanjong,Ng Siew Lai,Ng Siew Lai,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jelutong,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P050,Jelutong,Jelutong,Baljit Singh Jigiri Singh,Baljit Singh A/L Jigiri Singh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jelutong,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P050,Jelutong,Jelutong,Sanisvara Nethaji Rayer Rajaji,Sanisvara Nethaji Rayer A/L Rajaji,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jelutong,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P050,Jelutong,Jelutong,Tan Sim Bee,Tan Sim Bee,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Jelutong,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,,,,,
P051,Bukit Gelugor,Bukit Gelugor,Lai Xue Ching,Lai Xue Ching,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gelugor,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,,,,,
P051,Bukit Gelugor,Bukit Gelugor,Low Joo Hiap,Low Joo Hiap,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gelugor,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P051,Bukit Gelugor,Bukit Gelugor,Ramkarpal Singh Karpal Singh,Ramkarpal Singh A/L Karpal Singh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gelugor,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P052,Bayan Baru,Bayan Baru,Chuah Seng Guan,Chuah Seng Guan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bayan Baru,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P052,Bayan Baru,Bayan Baru,Iszuree Ibrahim,Iszuree Bin Ibrahim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bayan Baru,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P052,Bayan Baru,Bayan Baru,Sim Tze Tzin,Sim Tze Tzin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bayan Baru,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P052,Bayan Baru,Bayan Baru,Yim Boon Leong,Yim Boon Leong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bayan Baru,,Malaysian United Party,Parti Bersama Malaysia,MU,,,,,,,,,,,
P053,Balik Pulau,Balik Pulau,Hilmi Yahaya,Hilmi Bin Yahaya,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Balik Pulau,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P053,Balik Pulau,Balik Pulau,Muhammad Bakhtiar Wan Chik,Muhammad Bakhtiar Bin Wan Chik,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Balik Pulau,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P053,Balik Pulau,Balik Pulau,Muhammad Imran Muhammad Sa'ad,Muhammad Imran Bin Muhammad Sa'ad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Balik Pulau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P054,Gerik,Gerik,Hasbullah Osman,Hasbullah Bin Osman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gerik,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P054,Gerik,Gerik,Ibrahim Mohd Hanafiah,Ibrahim Bin Mohd Hanafiah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gerik,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P054,Gerik,Gerik,Mohd Dahalan Ismail,Mohd Dahalan Bin Ismail,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gerik,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P055,Lenggong,Lenggong,Amirul Fairuzzeen Jamaluddin,Amirul Fairuzzeen Bin Jamaluddin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lenggong,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P056,Lenggong,Lenggong,Muhammad Mujahid Mohammad Fadzil,Muhammad Mujahid Bin Mohammad Fadzil,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lenggong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P057,Lenggong,Lenggong,Shamsul Anuar Nasarah ,Shamsul Anuar Bin Nasarah ,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lenggong,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P056,Larut,Larut,Abu Husin Mohmmad,Abu Husin Bin Mohmmad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Larut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P056,Larut,Larut,Hamzah Zainudin,Hamzah Bin Zainudin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Larut,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P056,Larut,Larut,Khairil Anuar Akhiruddin,Khairil Anuar Bin Akhiruddin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Larut,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P057,Parit Buntar,Parit Buntar,Abdul Puhat Mat Nayan,Abdul Puhat Bin Mat Nayan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit Buntar,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P057,Parit Buntar,Parit Buntar,Ahmad Azhar Sharin,Ahmad Azhar Bin Sharin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit Buntar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P057,Parit Buntar,Parit Buntar,Mujahid Yusof,Mujahid Bin Yusof,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit Buntar,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P058,Bagan Serai,Bagan Serai,Adam Asmuni,Adam Bin Asmuni,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan Serai,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P058,Bagan Serai,Bagan Serai,Noor Azmi Ghazali,Noor Azmi Bin Ghazali,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan Serai,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P058,Bagan Serai,Bagan Serai,Rohaya Bakar,Rohaya Binti Bakar,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bagan Serai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P059,Bukit Gantang,Bukit Gantang,Idris Ahmad,Idris Bin Ahmad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gantang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P059,Bukit Gantang,Bukit Gantang,Khadri Khalid,Khadri Bin Khalid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gantang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P059,Bukit Gantang,Bukit Gantang,Syed Abu Hussin Hafiz Syed Abu Fasal,Syed Abu Hussin Bin Hafiz Syed Abu Fasal,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Bukit Gantang,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P060,Taiping,Taiping,Ibrahim Ismail,Ibrahim Bin Ismail,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Taiping,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P060,Taiping,Taiping,Tan Keng Liang,Tan Keng Liang,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Taiping,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P060,Taiping,Taiping,Teh Kok Lim,Teh Kok Lim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Taiping,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P061,Padang Rengas,Padang Rengas,Ejazi Yahaya,Ejazi Bin Yahaya,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Rengas,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P061,Padang Rengas,Padang Rengas,Mohamad Azalan Mohamad Radzi,Mohamad Azalan Bin Mohamad Radzi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Rengas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P061,Padang Rengas,Padang Rengas,Mohamed Nazri Abdul Aziz,Mohamed Nazri Bin Abdul Aziz,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Padang Rengas,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P062,Sungai Siput,Sungai Siput,Devamany Krishnasamy,Devamany A/L Krishnasamy,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Siput,,National Front,Barisan Nasional,MIC,,,,,,,,,,,
P062,Sungai Siput,Sungai Siput,Ishak Ibrahim,Ishak Bin Ibrahim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Siput,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P062,Sungai Siput,Sungai Siput,Kesavan Subramaniam,Kesavan A/L Subramaniam,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Siput,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P062,Sungai Siput,Sungai Siput,Michael Jeyakumar Devaraj,Michael Jeyakumar Devaraj,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Sungai Siput,,Socialist Party of Malaysia,Parti Sosialis Malaysia,PSM,,,,,,,,,,,
P063,Tambun,Tambun,Ahmad Faizal Azumu,Ahmad Faizal Bin Azumu,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tambun,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P063,Tambun,Tambun,Ahmad Husni Mohamad Hanadzlah,Ahmad Husni Bin Mohamad Hanadzlah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tambun,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P063,Tambun,Tambun,Muhamad Zukifli Mohamad Zakaria,Muhamad Zukifli Bin Mohamad Zakaria,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tambun,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P064,Ipoh Timor,Ipoh Timor,Kathleen Wong Mei Yin,Kathleen Wong Mei Yin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ipoh Timur,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P064,Ipoh Timor,Ipoh Timor,Wong Kah Woh,Wong Kah Woh,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ipoh Timur,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P065,Ipoh Barat,Ipoh Barat,Cheng Wei Yee,Cheng Wei Yee,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ipoh Barat,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P065,Ipoh Barat,Ipoh Barat,M. Kulasekaran V. Murugeson,M. Kulasekaran A/L V. Murugeson,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Ipoh Barat,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P066,Batu Gajah,Batu Gajah,Kunasekaran Krishnan,Kunasekaran A/L Krishnan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Gajah,,Socialist Party of Malaysia,Parti Sosialis Malaysia,PSM,,,,,,,,,,,
P066,Batu Gajah,Batu Gajah,Leong Chee Wai,Leong Chee Wai,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Gajah,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P066,Batu Gajah,Batu Gajah,Sivakumar Varatharajy Naidu,Sivakumar A/L Varatharajy Naidu,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Batu Gajah,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P067,Kuala Kangsar,Kuala Kangsar,Ahmad Termizi Ramli,Ahmad Termizi Bin Ramli,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kangsar,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P067,Kuala Kangsar,Kuala Kangsar,Khalil Idham Lim Abdullah,Khalil Idham Lim Bin Abdullah,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kangsar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P067,Kuala Kangsar,Kuala Kangsar,Mastura Mohd Yazid,Mastura Binti Mohd Yazid,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kuala Kangsar,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P068,Beruas,Beruas,Mohamad Nazeer M K M Hameed,Mohamad Nazeer Bin M K M Hameed,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Beruas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P068,Beruas,Beruas,Ngeh Koo Ham,Ngeh Koo Ham,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Beruas,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P068,Beruas,Beruas,Pang Chok King,Pang Chok King,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Beruas,,National Front,Barisan Nasional,GERAKAN,,,,,,,,,,,
P069,Parit,Parit,Ahmad Tarmizi Mohd Jam,Ahmad Tarmizi Bin Mohd Jam,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P069,Parit,Parit,Mohd Nizar Zakaria ,Mohd Nizar Bin Zakaria ,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P069,Parit,Parit,Najihatussalehah Ahmad,Najihatussalehah Binti Ahmad,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Parit,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P070,Kampar,Kampar,Lee Chee Leong,Lee Chee Leong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kampar,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P070,Kampar,Kampar,Su Keong Siong,Su Keong Siong,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kampar,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,,,,,
P070,Kampar,Kampar,Yougan Mahalingam,Yougan A/L Mahalingam,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Kampar,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P071,Gopeng,Gopeng,Heng Seai Kie,Heng Seai Kie,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gopeng,,National Front,Barisan Nasional,MCA,,,,,,,,,,,
P071,Gopeng,Gopeng,Ismail Ariffin,Ismail Bin Ariffin,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gopeng,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P071,Gopeng,Gopeng,Lee Boon Chye,Lee Boon Chye,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Gopeng,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,,,,,
P072,Tapah,Tapah,Mohamed Azni Mohamed Ali,Mohamed Azni Bin Mohamed Ali,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tapah,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P072,Tapah,Tapah,Norazli Musa,Norazli Bin Musa,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tapah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P072,Tapah,Tapah,Saravanan Murugan,Saravanan A/L Murugan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Tapah,,National Front,Barisan Nasional,MIC,,,,,,,,,,,
P073,Pasir Salak,Pasir Salak,Salihuddin Radin Sumadi,Salihuddin Bin Radin Sumadi,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Salak,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,,,,,
P073,Pasir Salak,Pasir Salak,Tajuddin Abdul Rahman,Tajuddin Bin Abdul Rahman,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Salak,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
P073,Pasir Salak,Pasir Salak,Zafarulazhan Zan,Zafarulazhan Bin Zan,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Pasir Salak,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P074,Lumut,Lumut,Mohammed Zamri Ibrahim,Mohammed Zamri Bin Ibrahim,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lumut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,,,,,
P074,Lumut,Lumut,Mohd Hatta Md Ramli,Mohd Hatta Bin Md Ramli,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lumut,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,,,,,
P074,Lumut,Lumut,Zambry Abd Kadir,Zambry Abd Kadir,GE14 Parliamentary Candidate,,GE14 Parliamentary Candidate for Lumut,,National Front,Barisan Nasional,UMNO,,,,,,,,,,,
