area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P012/N20,Sungai Limau,Sungai Limau,Norma Awang,Norma Binti Awang,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Limau,,National Front,Barisan Nasional,UMNO,,,,,,,
P012/N20,Sungai Limau,Sungai Limau,Zahran Abdullah,Zahran BIn Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sungai Limau,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P012/N21,Guar Chempedak,Guar Chempedak,Ku Abd Rahman Ku Ismail,Ku Abd Rahman Bin Ku Ismail,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Guar Chempedak,,National Front,Barisan Nasional,UMNO,,,,,,,
P012/N21,Guar Chempedak,Guar Chempedak,Mohd Saffuan Sabari,Mohd Saffuan Bin Sabari,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Guar Chempedak,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P012/N21,Guar Chempedak,Guar Chempedak,Mussodak Ahmad,Mussodak Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Guar Chempedak,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P012/N22,Gurun,Gurun,Boey Chin Gan,Boey Chin Gan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Gurun,,National Front,Parti Keadilan Rakyat,MCA,,,,,,,
P012/N22,Gurun,Gurun,Johari Abdul,Johari Bin Abdul,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Gurun,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P012/N22,Gurun,Gurun,Muzaini Azizan,Muzaini Azizan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Gurun,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P012/N22,Gurun,Gurun,Palaniappan Marimuthu,Palaniappan A/L Marimuthu,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Gurun,,Independent,Bebas,,,,,,,,
P013/N23,Belantek,Belantek,Abdul Rashid Abdullah,Abdul Rashid Bin Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Belantek,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P013/N23,Belantek,Belantek,Mohd Isa Shafie,Mohd Isa Bin Shafie,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Belantek,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P013/N23,Belantek,Belantek,Mohd Tajudin Abdullah,Mohd Tajudin Bin Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Belantek,,National Front,Barisan Nasional,UMNO,,,,,,,
P013/N24,Jeneri,Jeneri,Mahadzir Abdul Hamid,Mahadzir Bin Abdul Hamid,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jeneri,,National Front,Barisan Nasional,UMNO,,,,,,,
P013/N24,Jeneri,Jeneri,Mohd Nazri Abu Hassan,Mohd Nazri BIn Abu Hassan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jeneri,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P013/N24,Jeneri,Jeneri,Muhammad Sanusi Md Noor,Muhammad Sanusi Bin Md Noor,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jeneri,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P014/N25,Bukit Selambau,Bukit Selambau,Jaspal Singh Gurbakhes Singh,Jaspal Singh A/L Gurbakhes Singh,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Selambau,,National Front,Barisan Nasional,MIC,,,,,,,
P014/N25,Bukit Selambau,Bukit Selambau,Mohd Ali Sulaiman,Mohd Ali Bin Sulaiman,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Selambau,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P014/N25,Bukit Selambau,Bukit Selambau,Summugam Rengasamy,Summugam A/L Rengasamy,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Selambau,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P014/N26,Tanjong Dawai,Tanjong Dawai,Annuar Ahmad,Annuar Bin Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tanjong Dawai,,National Front,Barisan Nasional,UMNO,,,,,,,
P014/N26,Tanjong Dawai,Tanjong Dawai,Anuar Abdul Hamid,Anuar Bin Abdul Hamid,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tanjong Dawai,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P014/N26,Tanjong Dawai,Tanjong Dawai,Hanif Ghazali,Hanif Ghazali,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Tanjong Dawai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P015/N27,Pantai Merdeka,Pantai Merdeka,Ahmad Fadzli Hashim,Ahmad Fadzli Bin Hashim,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pantai Merdeka,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P015/N27,Pantai Merdeka,Pantai Merdeka,Ali Yahaya,Ali BIn Yahaya,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pantai Merdeka,,National Front,Barisan Nasional,UMNO,,,,,,,
P015/N27,Pantai Merdeka,Pantai Merdeka,Rosli Yusof,Rosli Bin Yusof,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pantai Merdeka,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P015/N28,Bakar Arang,Bakar Arang,Ko Hung Weng,Ko Hung Weng,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bakar Arang,,National Front,Barisan Nasional,MCA,,,,,,,
P015/N28,Bakar Arang,Bakar Arang,Ooi Tze Min,Ooi Tze Min,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bakar Arang,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P015/N28,Bakar Arang,Bakar Arang,Othman Che Mee,Othman BIn Che Mee,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bakar Arang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P015/N28,Bakar Arang,Bakar Arang,Tan Hock Huat,Tan Hock Huat,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bakar Arang,,Independent,Bebas,,,,,,,,
P015/N28,Bakar Arang,Bakar Arang,Tan Kee Chye,Tan Kee Chye,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bakar Arang,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P015/N29,Sidam,Sidam,Mohd Hashim Saaludin,Mohd Hashim Bin Saaludin,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sidam,,Malaysian People's Party,Parti Rakyat Malaysia,PRM,,,,,,,
P015/N29,Sidam,Sidam,Nur Hidayah Foo Abdullah,Nur Hidayah Foo Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sidam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P015/N29,Sidam,Sidam,Robert Ling Kui Ee,Robert Ling Kui Ee,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sidam,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P015/N29,Sidam,Sidam,Tan Kok Seong,Tan Kok Seong,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Sidam,,National Front,Barisan Nasional,GERAKAN,,,,,,,
P016/N30,Bayu,Bayu,Abdul Nasir Idris,Abdul Nasir Bin Idris,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bayu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P016/N30,Bayu,Bayu,Abd Rahim Kechik @ Wan Chik,Abd Rahim Bin Kechik @ Wan Chik,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bayu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P016/N30,Bayu,Bayu,Mohamed Noor Mohamed Amin,Mohamed Noor Bin Mohamed Amin,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bayu,,National Front,Barisan Nasional,UMNO,,,,,,,
P016/N31,Kupang,Kupang,Harun Abdul Aziz,Harun BIn Abdul Aziz,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kupang,,National Front,Barisan Nasional,UMNO,,,,,,,
P016/N31,Kupang,Kupang,Johari Abdullah,Johari Bin Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kupang,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P016/N31,Kupang,Kupang,Najmi Ahmad,Najmi Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kupang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P016/N32,Kuala Ketil,Kuala Ketil,Mansor Zakaria,Mansor Bin Zakaria,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Ketil,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P016/N32,Kuala Ketil,Kuala Ketil,Mohamad Sofee Razak,Mohamad Sofee Bin Razak,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Ketil,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P016/N32,Kuala Ketil,Kuala Ketil,Mohd Khairul Azhar Abdullah,Mohd Khairul Azhar Bin Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Ketil,,National Front,Barisan Nasional,UMNO,,,,,,,
