area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P038/N24,Ajil,Ajil,Maliaman Kassim,Maliaman Bin Kassim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ajil,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P038/N24,Ajil,Ajil,Zamani Mamat,Zamani Bin Mamat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Ajil,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P039/N25,Bukit Besi,Bukit Besi,Ghazali Sulaiman,Ghazali Bin Sulaiman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Besi,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P039/N25,Bukit Besi,Bukit Besi,Mohamad Arif Arifin,Mohamad Arif Bin Arifin,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Besi,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P039/N25,Bukit Besi,Bukit Besi,Roslee Daud,Roslee Bin Daud,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bukit Besi,,National Front,Barisan Nasional,UMNO,,,,,,,
P039/N26,Bantau Abang,Bantau Abang,Alias Harun,Alias Bin Harun,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bantau Abang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P039/N26,Bantau Abang,Bantau Abang,Mohammad Padeli Jusoh,Mohammad Padeli Bin Jusoh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bantau Abang,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P039/N26,Bantau Abang,Bantau Abang,Wan Zaulkfli Wan Gati,Wan Zaulkfli Bin Wan Gati,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Bantau Abang,,National Front,Barisan Nasional,UMNO,,,,,,,
P039/N27,Sura,Sura,Wan Hapandi Wan Nik,Wan Hapandi Bin Wan Nik,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Sura,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P039/N27,Sura,Sura,Zainun A. Bakar,Zainun Binti A. Bakar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Sura,,National Front,Barisan Nasional,UMNO,,,,,,,
